"iso2c","year","launched","foiled","all","population","all_poisson","launched_poisson","all_nb","launched_nb"
"SD",2005,0,0,0,30949516,0,0,0,0
"SD",2006,0,0,0,31661823,1,0,2,0
"SD",2007,0,0,0,32360621,0,0,0,0
"SD",2008,0,0,0,33060837,0,0,0,0
"SD",2009,0,0,0,33783788,0,0,0,0
"SD",2010,0,0,0,34545013,0,0,0,0
"SD",2011,0,0,0,35349681,0,0,0,0
"SD",2012,0,0,0,36193783,0,0,0,0
"SD",2013,0,0,0,37072550,0,0,1,0
"SD",2014,0,0,0,37977655,0,0,0,0
"SD",2015,0,0,0,38902950,1,0,0,0
"SD",2016,0,0,0,39847440,0,1,13,0
"SR",1990,0,0,0,405168,0,0,0,0
"SR",1991,0,0,0,413005,1,0,0,0
"SR",1992,0,0,0,420655,0,0,0,0
"SR",1993,0,0,0,428030,0,0,0,0
"SR",1994,0,0,0,435105,0,0,0,0
"SR",1995,0,0,0,441851,0,1,0,0
"SR",1996,0,0,0,448213,0,0,0,0
"SR",1997,0,0,0,454161,0,0,0,0
"SR",1998,0,0,0,459831,0,0,0,0
"SR",1999,0,0,0,465385,0,0,0,0
"SR",2000,0,0,0,470949,0,1,0,0
"SR",2001,0,0,0,476579,0,0,0,0
"SR",2002,0,0,0,482235,1,0,0,0
"SR",2003,0,0,0,487942,0,0,0,0
"SR",2004,0,0,0,493679,0,0,0,7
"SR",2005,0,0,0,499464,0,0,0,0
"SR",2006,0,0,0,505295,1,0,0,0
"SR",2007,0,0,0,511181,0,0,0,0
"SR",2008,0,0,0,517123,0,0,0,0
"SR",2009,0,0,0,523111,0,0,0,0
"SR",2010,0,0,0,529131,0,0,0,0
"SR",2011,0,0,0,535179,0,0,0,0
"SR",2012,0,0,0,541245,0,0,0,0
"SR",2013,0,0,0,547291,0,0,0,0
"SR",2014,0,0,0,553273,0,0,0,0
"SR",2015,0,0,0,559143,0,0,0,0
"SR",2016,0,0,0,564888,0,0,0,0
"SE",1990,0,0,0,8558835,0,0,0,0
"SE",1991,0,0,0,8617375,0,0,0,0
"SE",1992,0,0,0,8668067,0,0,0,0
"SE",1993,0,0,0,8718561,0,0,0,0
"SE",1994,0,0,0,8780745,0,0,0,0
"SE",1995,0,0,0,8826939,0,1,0,0
"SE",1996,0,0,0,8840998,0,0,0,0
"SE",1997,0,0,0,8846062,0,0,0,0
"SE",1998,0,0,0,8850974,0,0,0,0
"SE",1999,0,0,0,8857874,0,0,1,0
"SE",2000,0,0,0,8872109,0,0,0,0
"SE",2001,0,0,0,8895960,0,0,0,0
"SE",2002,0,0,0,8924958,0,0,0,0
"SE",2003,0,0,0,8958229,0,0,0,0
"SE",2004,0,0,0,8993531,0,0,0,0
"SE",2005,0,0,0,9029572,0,0,0,0
"SE",2006,0,0,0,9080505,0,0,0,0
"SE",2007,0,0,0,9148092,0,0,0,0
"SE",2008,0,0,0,9219637,0,0,0,0
"SE",2009,0,0,0,9298515,0,0,0,0
"SE",2010,0,0,0,9378126,1,1,0,0
"SE",2011,0,0,0,9449213,0,0,0,0
"SE",2012,0,0,0,9519374,0,0,0,0
"SE",2013,0,0,0,9600379,0,0,0,0
"SE",2014,0,0,0,9696110,0,0,0,0
"SE",2015,0,0,0,9799186,0,0,0,0
"SE",2016,0,0,0,9923085,0,0,0,0
"CH",1990,0,0,0,6715519,0,0,0,0
"CH",1991,0,0,0,6799978,0,0,0,0
"CH",1992,0,0,0,6875364,0,0,0,0
"CH",1993,0,0,0,6938265,0,0,0,0
"CH",1994,0,0,0,6993795,0,0,0,0
"CH",1995,0,0,0,7040687,0,0,7,0
"CH",1996,0,0,0,7071850,1,0,0,0
"CH",1997,0,0,0,7088906,0,0,0,0
"CH",1998,0,1,1,7110001,0,0,0,0
"CH",1999,0,0,0,7143991,0,0,0,0
"CH",2000,0,0,0,7184250,0,0,0,0
"CH",2001,0,0,0,7229854,0,0,0,0
"CH",2002,0,0,0,7284753,0,0,0,0
"CH",2003,0,0,0,7339001,0,0,0,0
"CH",2004,0,0,0,7389625,0,0,0,0
"CH",2005,0,0,0,7437115,0,0,0,0
"CH",2006,0,0,0,7483934,0,0,0,0
"CH",2007,0,0,0,7551117,0,0,0,0
"CH",2008,0,0,0,7647675,1,0,0,0
"CH",2009,0,0,0,7743831,0,0,0,0
"CH",2010,0,0,0,7824909,0,0,0,0
"CH",2011,0,0,0,7912398,0,0,0,0
"CH",2012,0,0,0,7996861,0,0,0,0
"CH",2013,0,0,0,8089346,0,0,0,0
"CH",2014,0,1,1,8188649,0,0,0,0
"CH",2015,0,0,0,8282396,0,0,0,0
"CH",2016,0,0,0,8373338,0,0,0,0
"SY",1990,0,0,0,12446171,0,0,0,0
"SY",1991,0,0,0,12815401,1,0,1,0
"SY",1992,0,0,0,13187663,0,0,0,0
"SY",1993,0,0,0,13565072,0,0,0,0
"SY",1994,0,0,0,13950476,0,0,0,0
"SY",1995,0,0,0,14345492,0,0,0,0
"SY",1996,0,0,0,14754142,0,0,0,0
"SY",1997,0,0,0,15175316,0,0,0,0
"SY",1998,0,0,0,15599591,0,0,0,0
"SY",1999,0,0,0,16013985,0,0,0,0
"SY",2000,0,0,0,16410848,0,0,0,0
"SY",2001,0,0,0,16766561,0,0,0,0
"SY",2002,0,0,0,17084632,0,0,0,0
"SY",2003,0,0,0,17415214,0,0,0,0
"SY",2004,0,0,0,17827825,0,0,0,0
"SY",2005,0,0,0,18361176,0,0,0,0
"SY",2006,0,0,0,19059258,0,0,3,0
"SY",2007,0,0,0,19878254,0,0,0,0
"SY",2008,0,0,0,20664038,0,0,1,0
"SY",2009,0,0,0,21205873,0,0,0,0
"SY",2010,0,0,0,21362529,0,0,0,0
"SY",2011,0,0,0,21082966,0,0,0,0
"SY",2012,1,0,1,20442541,0,0,3,0
"SY",2013,0,0,0,19584274,0,0,0,0
"SY",2014,0,0,0,18715672,0,0,0,0
"SY",2015,1,0,1,17997408,0,0,0,0
"SY",2016,0,0,0,17453933,0,0,0,0
"TJ",1990,0,0,0,5283814,1,0,0,0
"TJ",1991,0,0,0,5400630,0,0,0,0
"TJ",1992,0,0,0,5502494,0,0,0,0
"TJ",1993,0,0,0,5593315,0,0,0,0
"TJ",1994,1,0,1,5679167,1,0,0,0
"TJ",1995,1,0,1,5764810,0,1,0,0
"TJ",1996,0,0,0,5851355,0,0,0,0
"TJ",1997,0,0,0,5938405,0,0,0,0
"TJ",1998,0,0,0,6027388,0,0,0,0
"TJ",1999,0,0,0,6119661,0,0,0,0
"TJ",2000,0,0,0,6216341,0,0,0,0
"TJ",2001,0,0,0,6318513,0,0,0,0
"TJ",2002,0,0,0,6426867,0,0,0,0
"TJ",2003,0,0,0,6541547,0,0,0,0
"TJ",2004,0,0,0,6662389,0,0,0,0
"TJ",2005,0,0,0,6789321,0,0,0,0
"TJ",2006,0,0,0,6922587,0,0,0,0
"TJ",2007,0,0,0,7062672,0,0,0,0
"TJ",2008,0,0,0,7209930,0,1,0,0
"TJ",2009,0,0,0,7364753,0,0,0,0
"TJ",2010,0,0,0,7527394,0,0,0,0
"TJ",2011,0,0,0,7697510,0,0,0,0
"TJ",2012,0,0,0,7874835,0,0,0,0
"TJ",2013,0,0,0,8059769,0,0,0,0
"TJ",2014,0,0,0,8252833,0,1,0,0
"TJ",2015,0,0,0,8454028,0,0,0,0
"TJ",2016,0,0,0,8663579,0,0,0,0
"TZ",1990,0,0,0,25203845,0,0,0,0
"TZ",1991,0,0,0,26056594,1,0,0,0
"TZ",1992,0,0,0,26961197,0,0,0,0
"TZ",1993,0,0,0,27887203,0,0,0,0
"TZ",1994,0,0,0,28792639,0,0,0,0
"TZ",1995,0,0,0,29649135,0,0,1,0
"TZ",1996,0,0,0,30444526,0,0,0,0
"TZ",1997,0,0,0,31192857,0,0,0,0
"TZ",1998,0,0,0,31924196,1,0,0,0
"TZ",1999,0,0,0,32682239,0,1,0,0
"TZ",2000,0,0,0,33499180,0,0,0,0
"TZ",2001,0,0,0,34385856,0,0,0,0
"TZ",2002,0,0,0,35334788,0,0,0,0
"TZ",2003,0,0,0,36337782,0,0,0,0
"TZ",2004,0,0,0,37379767,0,0,0,0
"TZ",2005,0,0,0,38450320,0,0,0,0
"TZ",2006,0,0,0,39548663,0,0,0,0
"TZ",2007,0,0,0,40681414,0,0,0,0
"TZ",2008,0,0,0,41853944,0,0,0,0
"TZ",2009,0,0,0,43073834,0,0,0,0
"TZ",2010,0,0,0,44346525,0,0,0,0
"TZ",2011,0,0,0,45673338,0,0,0,0
"TZ",2012,0,0,0,47052481,0,0,0,0
